위도,경도,유형,위험도점수,cctv_coverage_m,bus_influence_m,nearest_cctv_m,근거,crs,latitude,longitude,x,y,epsg,wkt
37.3638167,126.9975667,정류소,,,150.0,2136.597207048409,버스정류장 150m 내 CCTV 없음,WGS84,37.3638167,126.9975667,126.9975667,37.3638167,EPSG:4326,POINT (126.9975667 37.3638167)
37.3639,126.9976333,정류소,,,150.0,2126.96756433699,버스정류장 150m 내 CCTV 없음,WGS84,37.3639,126.9976333,126.9976333,37.3639,EPSG:4326,POINT (126.9976333 37.3639)
37.3475167,127.00185,정류소,,,150.0,2307.494683550878,버스정류장 150m 내 CCTV 없음,WGS84,37.3475167,127.00185,127.00185,37.3475167,EPSG:4326,POINT (127.00185 37.3475167)
37.3813,127.0005333,정류소,,,150.0,222.24803596948243,버스정류장 150m 내 CCTV 없음,WGS84,37.3813,127.0005333,127.0005333,37.3813,EPSG:4326,POINT (127.0005333 37.3813)
37.3810333,127.0008,정류소,,,150.0,259.94209083860954,버스정류장 150m 내 CCTV 없음,WGS84,37.3810333,127.0008,127.0008,37.3810333,EPSG:4326,POINT (127.0008 37.3810333)
37.3927833,126.9806167,정류소,,,150.0,511.60622611285584,버스정류장 150m 내 CCTV 없음,WGS84,37.3927833,126.9806167,126.9806167,37.3927833,EPSG:4326,POINT (126.9806167 37.3927833)
37.39285,126.9808833,정류소,,,150.0,487.23309913247135,버스정류장 150m 내 CCTV 없음,WGS84,37.39285,126.9808833,126.9808833,37.39285,EPSG:4326,POINT (126.9808833 37.39285)
37.3503667,126.9791,정류소,,,150.0,502.6778554385498,버스정류장 150m 내 CCTV 없음,WGS84,37.3503667,126.9791,126.9791,37.3503667,EPSG:4326,POINT (126.9791 37.3503667)
37.3239333,126.96075,정류소,,,150.0,394.26658648382215,버스정류장 150m 내 CCTV 없음,WGS84,37.3239333,126.96075,126.96075,37.3239333,EPSG:4326,POINT (126.96075 37.3239333)
37.3237667,126.9603333,정류소,,,150.0,355.7436428084871,버스정류장 150m 내 CCTV 없음,WGS84,37.3237667,126.9603333,126.9603333,37.3237667,EPSG:4326,POINT (126.9603333 37.3237667)
37.3242,126.9576167,정류소,,,150.0,315.7639022637071,버스정류장 150m 내 CCTV 없음,WGS84,37.3242,126.9576167,126.9576167,37.3242,EPSG:4326,POINT (126.9576167 37.3242)
37.3242667,126.9579,정류소,,,150.0,323.7050626188352,버스정류장 150m 내 CCTV 없음,WGS84,37.3242667,126.9579,126.9579,37.3242667,EPSG:4326,POINT (126.9579 37.3242667)
37.32475,126.9486167,정류소,,,150.0,885.7434759172644,버스정류장 150m 내 CCTV 없음,WGS84,37.32475,126.9486167,126.9486167,37.32475,EPSG:4326,POINT (126.9486167 37.32475)
37.3249,126.9485333,정류소,,,150.0,899.5927868053858,버스정류장 150m 내 CCTV 없음,WGS84,37.3249,126.9485333,126.9485333,37.3249,EPSG:4326,POINT (126.9485333 37.3249)
37.3211,126.9542,정류소,,,150.0,309.231558046061,버스정류장 150m 내 CCTV 없음,WGS84,37.3211,126.9542,126.9542,37.3211,EPSG:4326,POINT (126.9542 37.3211)
37.3212333,126.9541833,정류소,,,150.0,309.6702828933117,버스정류장 150m 내 CCTV 없음,WGS84,37.3212333,126.9541833,126.9541833,37.3212333,EPSG:4326,POINT (126.9541833 37.3212333)
