way_id,highway,name,ref,lanes,maxspeed,oneway,bridge,tunnel,length_m
406851692,motorway,수도권제1순환고속도로,100,4,100,yes,yes,,323.39
406851693,motorway,수도권제1순환고속도로,100,4,100,yes,yes,,321.25
406851694,motorway,수도권제1순환고속도로,100,4,100,yes,,,352.41
406851695,motorway,수도권제1순환고속도로,100,4,100,yes,,,636.62
406851699,tertiary,학현로,,,,,,,157.76
406851706,tertiary,학현로,,,,,,,53.47
406854567,tertiary,하오개로,57,,,yes,,,107.67
406854568,tertiary,하오개로,57,,,yes,,yes,89.46
413458748,residential,교동길,,,,,,,301.73
413458749,residential,교동길,,,,,,yes,24.87
418064356,primary,경수대로,1,,,yes,,,376.55
418064358,primary,경수대로,1,,,yes,yes,,17.28
418064359,primary,경수대로,1,,,yes,yes,,16.63
418064360,primary,경수대로,1,,,yes,,,171.12
418064370,cycleway,,,,,,,,189.81
418064371,cycleway,,,,,,,yes,17.48
418064372,primary,경수대로,1,,60,yes,,,878.35
418064376,trunk_link,,,,,yes,yes,,129.27
418064384,trunk_link,,,,,yes,yes,,177.64
418064386,trunk_link,,,,,yes,,,94.36
418064387,trunk_link,,,,,yes,,,146.0
418064388,trunk_link,,,,,yes,,,97.45
418064391,trunk_link,,,,,yes,,,161.19
418064392,primary,고천지하차도,1,,,yes,,,90.69
418064394,primary,고천지하차도,1,,,yes,,,94.39
424598620,track,,,,,,,,1427.55
424598625,track,매실길,,,,,,,3476.93
424598626,unclassified,입북로59번길,,,,,,,669.09
427366595,service,,,,,no,,,246.56
427366596,track,,,,,,,,174.38
427366597,unclassified,,,,,,,,5.07
427366598,unclassified,,,,,,yes,,25.97
427366599,unclassified,,,,,,,,19.56
427366600,residential,,,,,,,,1062.17
427366601,unclassified,뒷골길,,,,,,,1033.82
427367139,unclassified,,,,,,,,525.45
427367140,unclassified,,,,,yes,yes,,12.16
427367141,service,,,,,no,,,55.14
427669583,unclassified,,,,,,,yes,55.18
427669585,unclassified,,,,,,,,238.63
433199301,tertiary,성고개로,,4,,,,,389.59
433199302,tertiary,성고개로,,4,,,,,500.12
452597712,residential,한백이길,,,,,,,205.42
452597714,residential,부곡중앙로,,,,,,,67.82
452597715,residential,부곡중앙로,,,,,,,67.37
452597717,residential,부곡중앙로,,,,,,,66.9
