grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_school_m,score_gap_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_school_0_1,vulnerability_0_1,total_score_0_100,priority_rank,candidate_flag
458,126.99000196,37.33342002,934.64,645.27,3026.51,656.61,1553.8,0.297077,0.377745,0.314783,0.699306,0.428001,0.459715,36.213,747,False
173,126.96237683,37.33516626,524.55,110.27,2128.88,65.39,1328.41,0.083586,0.979165,0.576316,1.0,0.529669,0.776994,36.095,748,False
859,127.02693104,37.3917782,968.37,100.66,3929.92,639.97,2494.07,0.314636,0.989971,0.051564,0.710069,0.003865,0.429642,36.064,749,False
857,127.02695935,37.38727144,1187.25,578.79,3911.99,973.94,2507.81,0.428583,0.452475,0.056789,0.494031,0.0,0.25858,36.058,750,False
486,126.99018599,37.39613235,451.02,338.15,1108.79,449.93,553.04,0.045308,0.723,0.87353,0.833001,0.879421,0.832149,36.004,751,False
837,127.02413532,37.38726011,1085.02,518.53,3662.09,831.65,2337.29,0.375363,0.520216,0.129599,0.586072,0.074589,0.336413,35.978,752,False
426,126.9877448,37.33978572,794.89,575.35,2344.71,800.28,878.59,0.224322,0.456341,0.513431,0.606368,0.732573,0.562765,35.97,753,False
162,126.96255339,37.31037902,573.92,280.78,1192.5,938.26,692.33,0.109287,0.787484,0.849141,0.517113,0.816589,0.732318,35.85,754,False
839,127.02410683,37.39176687,870.17,169.51,3681.24,431.93,2244.75,0.263517,0.912573,0.124019,0.844646,0.116329,0.496764,35.682,755,False
75,126.94890949,37.33283905,722.53,519.46,1719.0,750.75,1424.46,0.186655,0.519174,0.69574,0.638406,0.486342,0.611817,35.672,756,False
121,126.95691113,37.31035327,398.9,85.31,892.43,706.04,497.32,0.018175,1.0,0.936569,0.667327,0.904555,0.86368,35.638,757,False
134,126.95670027,37.33964723,728.63,645.93,2061.5,658.78,851.28,0.189831,0.377001,0.595947,0.697902,0.744891,0.605086,35.593,758,False
858,127.02694519,37.38952482,1054.11,331.76,3912.99,785.21,2523.87,0.359272,0.730175,0.056498,0.616114,0.0,0.350643,35.582,759,False
579,126.99871908,37.3871551,247.6,85.99,1414.69,276.39,579.9,0.0,1.0,0.784403,0.945261,0.867304,0.888215,35.529,760,False
294,126.97674062,37.3290284,841.01,604.98,2483.22,627.88,1778.54,0.248335,0.423035,0.473077,0.717885,0.326627,0.514543,35.482,761,False
78,126.94904068,37.33934292,993.22,1002.11,2429.61,1012.52,1264.18,0.327575,0.0,0.488695,0.469073,0.55864,0.395561,35.477,762,False
187,126.96515243,37.30819923,687.46,307.38,1525.84,1128.81,1026.27,0.168397,0.757581,0.75202,0.393847,0.665959,0.632771,35.415,763,False
578,126.99873408,37.38490172,216.03,74.4,1455.52,147.83,824.49,0.0,1.0,0.772507,1.0,0.756976,0.883924,35.357,764,False
164,126.9625213,37.3148858,434.2,414.34,928.72,498.32,482.01,0.036553,0.637345,0.925995,0.801697,0.911463,0.828796,35.345,765,False
815,127.02131129,37.38724871,901.7,270.58,3412.21,681.65,2099.14,0.27993,0.79896,0.202404,0.683105,0.182009,0.462866,35.31,766,False
260,126.97062153,37.36675171,365.1,331.81,993.93,361.77,289.87,0.000578,0.730126,0.906996,0.89003,0.998133,0.880203,35.243,767,False
460,126.99058226,37.33754452,948.68,814.52,2697.26,927.63,1232.04,0.304387,0.187481,0.410714,0.523985,0.573141,0.424413,35.24,768,False
140,126.95974838,37.30811279,537.06,28.13,1230.45,1037.06,782.19,0.090098,1.0,0.838083,0.453199,0.776056,0.745697,35.234,769,False
100,126.95412259,37.30583351,623.48,173.82,1315.54,1164.04,1032.39,0.135087,0.907724,0.813291,0.371057,0.663198,0.676993,35.185,770,False
355,126.9821622,37.3307476,628.01,108.88,2967.1,143.18,1609.01,0.137446,0.980735,0.332092,1.0,0.403097,0.672844,35.16,771,False
96,126.95105845,37.33961915,898.88,887.13,2317.76,898.56,1114.76,0.278459,0.105853,0.521284,0.542793,0.626041,0.460364,35.122,772,False
259,126.97063736,37.36449834,355.55,338.01,781.47,500.87,239.23,0.0,0.723155,0.968899,0.800045,1.0,0.873759,34.95,773,False
547,126.99591015,37.38488972,358.69,250.62,1214.83,101.39,819.02,0.0,0.821392,0.842635,1.0,0.759446,0.873118,34.925,774,False
171,126.96240895,37.3306595,545.02,451.85,1685.72,386.24,973.61,0.094242,0.595181,0.705435,0.874196,0.689713,0.731654,34.921,775,False
459,126.99059738,37.33529121,941.96,808.49,2890.7,782.94,1416.64,0.300887,0.194266,0.354353,0.617582,0.489869,0.421632,34.919,776,False
115,126.95387805,37.33963424,779.25,734.78,2179.06,747.32,959.78,0.216182,0.277121,0.561696,0.640625,0.695949,0.548598,34.915,777,False
860,127.02691687,37.39403158,943.04,187.61,3962.58,572.33,2489.16,0.301451,0.892227,0.042047,0.753824,0.006083,0.420221,34.896,778,False
247,126.9708272,37.33745781,617.58,330.64,2037.08,556.38,1211.99,0.132017,0.73144,0.603064,0.764139,0.582183,0.673929,34.878,779,False
838,127.02412108,37.38951349,951.17,372.73,3663.16,627.34,2277.81,0.305685,0.684125,0.129288,0.718235,0.101418,0.412759,34.851,780,False
736,127.0128392,37.38721411,685.91,293.45,2662.7,481.73,1409.58,0.167591,0.773241,0.420781,0.812431,0.493057,0.619609,34.84,781,False
328,126.97927808,37.33974876,405.36,137.71,1945.04,184.39,613.13,0.021537,0.948327,0.629879,1.0,0.852317,0.837971,34.811,782,False
641,127.00438196,37.38492553,507.63,214.09,1943.96,371.24,1035.75,0.07478,0.862458,0.630194,0.883899,0.661681,0.757481,34.786,783,False
423,126.9877907,37.33302556,770.56,457.06,2956.47,456.07,1496.3,0.21166,0.589319,0.33519,0.829026,0.453938,0.551979,34.779,784,False
80,126.95131801,37.30356708,805.64,408.9,1564.48,1437.71,1350.31,0.229921,0.643468,0.74076,0.194031,0.519793,0.524138,34.761,785,False
111,126.9539433,37.33062073,388.6,137.49,1445.94,266.55,985.86,0.012814,0.948566,0.7753,0.951621,0.684187,0.849182,34.736,786,False
172,126.96239289,37.33291288,472.86,224.68,1903.79,152.26,1209.51,0.056678,0.850559,0.6419,1.0,0.583303,0.782272,34.692,787,False
792,127.01848725,37.38723724,757.54,37.64,3162.35,602.2,1864.11,0.204881,1.0,0.275204,0.734497,0.288028,0.559875,34.688,788,False
