grid_id,centroid_lon,centroid_lat,dist_cctv_m,dist_school_m,dist_bus_m,dist_accident_m,dist_fatal_m,dist_road_m,nearest_road_way_id,nearest_road_name,nearest_road_highway,nearest_road_vol_mean,score_cctv_gap_0_1,score_school_0_1,score_bus_0_1,score_accident_0_1,score_fatal_0_1,score_road_proximity_0_1,score_traffic_0_1,total_score_equal_0_100,total_score_weighted_0_100,min_cctv_gap_m,max_road_dist_m
379,126.98179051,37.38482869,442.37,301.02,141.02,370.36,288.73,66.09,393913112,내손중앙로,tertiary,0.0,0.199124,0.9931,0.944599,1.0,0.937274,0.633729,0.5,74.398,79.99,200.0,150.0
321,126.97624612,37.38920568,235.37,314.19,170.64,277.65,97.98,11.61,1460258639,포일로,tertiary,0.0,0.042532,0.987163,0.911298,1.0,1.0,0.9641,0.5,77.216,79.48,200.0,150.0
69,126.9483819,37.31932765,383.04,400.36,155.37,420.04,244.25,67.75,496583280,철도박물관로,tertiary,0.0,0.154243,0.94829,0.928465,1.0,0.96605,0.623603,0.5,73.152,79.43,200.0,150.0
233,126.96787785,37.35547218,254.9,408.58,147.75,174.09,182.13,1.06,280678694,옻우물길,residential,0.0,0.057311,0.944583,0.937039,1.0,1.0,1.0,0.5,77.699,79.389,200.0,150.0
413,126.98459901,37.3870944,351.75,178.68,42.15,194.19,348.31,14.45,82626307,내손순환로,tertiary,0.0,0.130574,1.0,1.0,1.0,0.898736,0.946841,0.5,78.231,79.369,200.0,150.0
106,126.95402482,37.31935382,346.38,447.64,188.14,228.17,184.67,0.13,155788517,부곡중앙남6길,residential,0.0,0.126511,0.926963,0.891636,1.0,1.0,1.0,0.5,77.787,79.169,200.0,150.0
415,126.98456815,37.39160113,220.11,378.21,95.86,422.3,261.6,46.36,82626318,학의로,tertiary,0.0,0.030987,0.958283,0.995365,1.0,0.954823,0.753338,0.5,74.183,79.118,200.0,150.0
305,126.97636197,37.35325659,462.46,152.07,65.96,592.19,422.84,46.43,156318651,오전로,tertiary,0.0,0.214323,1.0,1.0,1.0,0.850523,0.752951,0.5,75.969,79.049,200.0,150.0
318,126.97615834,37.38255044,245.38,316.41,119.32,138.52,280.84,39.33,379044918,복지로,tertiary,0.0,0.050104,0.98616,0.968996,1.0,0.942382,0.795984,0.5,74.909,79.033,200.0,150.0
383,126.9821436,37.39371805,278.19,501.8,147.38,628.88,120.19,8.15,472039977,학의로,tertiary,0.0,0.074927,0.902536,0.937454,1.0,1.0,0.985065,0.5,77.143,78.999,200.0,150.0
